0,1,2,3,4,5,6,7
"Application 
Active 
Peripheral",QTY,"Peripheral  
Base 
VDDREG_IDD","Total 
VREG SWn 
CORE_IDD","Peripheral 
Base 
VDDX_IDD","Total 
VDDX_IDD","Total 
VUSB3V3 
IDD","Total 
IOH / IOL"
CPU IDD,,mA,mA(2),---,---,---,---
ADC Module,,mA,mA,mA,mA,---,---
Analog Comparator,,mA,mA,mA,mA,---,---
CAN_FD,,mA,mA,---,---,---,---
CRYPTO (HSM),,mA,mA,---,---,---,---
DMA,,"mA + 
mA / Channel",mA,mA,mA,---,---
EBI / SMC,,mA,mA,mA,mA,---,---
Ethernet 10/100,,mA,mA,---,---,---,---
Ethernet GMII,,mA,mA,mA,mA,---,---
FREQM,,mA,mA,mA,mA,---,---
I2S,,mA,mA,mA,mA,---,---
JTAG,,mA,mA,---,---,---,---
MLB,,mA,mA,mA,mA,---,---
PTC,,mA,mA,mA,mA,---,---
RTC,,mA,mA,---,---,---,---
SERCOM,,mA,mA,---,---,---,---
SDHC,,mA,mA,mA,mA,---,---
SQI,,mA,mA,---,---,---,---
SWD,,mA,mA,---,---,---,---
TCC,,mA,mA,mA,mA,---,---
Trace,,mA,mA,---,---,---,---
TRNG,,mA,mA,---,---,---,---
WDT,,mA,mA,---,---,---,---
,,,,,,,
I/O pins(1),---,---,---,---,---,---,"mA
IOL ="
,,,,,,,"mA
IOH ="
,,,,,,,
USB,,,---,mA,mA,mA,---
PLL,,,---,---,---,---,---
SRAM,,,---,---,---,---,---
,,,,,,,
SUB TOTAL,---,---,,---,,mA,---
SUM TOTAL,---,,,---,,,---
